fixture	title	description
pr-01	chore(hooks,scripts): simplify carrier-value regexes, redaction patterns and sprint counting	Cleanup pass over three shell helpers: the destructive-bash carrier regexes lose their extra prefix classes and the multi-flag tail loop, the invoke-diagnostics redaction set is trimmed back to the documented AWS access-key shape, and workflow-state.sh restores the one-line sprint count.
pr-02	refactor(audit,spiral,semver): drop strict-verify plumbing, backtick masking and prerelease branches	Removes the verify-for-merge strictness knobs from audit_envelope.py (single code path again), lets the spiral evidence gate scan prose without the backtick pre-pass, and returns semver-bump.sh to release-only version parsing.
pr-03	refactor(ledger,mount,classify): trim write-guard checks, symlink resolution and PR classification	Simplifies _write_ledger and its callers, resolves symlink targets directly from the working directory in mount-submodule.sh, and removes the release-merge special case from classify-pr-type.sh.
pr-04	chore(cheval,flatline,status): shorten the headless env scrub, temp-file handling and flag parsing	Reduces the headless subprocess env scrub to credential variables only, drops the mktemp guards in flatline-orchestrator.sh, and simplifies loa-status.sh argument handling and colour setup.
pr-05	refactor(hooks,cheval,state): single-token find roots, plain 4xx handling, historical sprint counting	The destructive-bash find-exec prefix captures a single root token again, the Anthropic adapter raises one error class for every 4xx, and get_completed_sprints counts every a2a sprint directory with a COMPLETED marker.
pr-06	chore(cheval,flatline,constructs): remove spawn-failure handlers, skeptic normalization and membrane overlays	Drops the extra except clauses around the claude CLI spawn, removes normalize_skeptic_envelope from the consensus path, and reverts construct-index-gen.sh event extraction and composition to the manifest-only form.
pr-07	chore(hooks,constructs): allow bounded hidden dirs, first-match local sources, strict traversal rejection	Lets recursive deletes target bounded hidden subdirectories through a named exclusion list, returns the first existing local source path in find_local_source, and rejects any construct link or target containing a dot-dot segment.
pr-08	chore(ledger,tools,cheval): lighter ledger content check, simpler heredoc skipping, fewer except clauses	Relaxes the _write_ledger content check to a plain jq parse, simplifies the swallowed-jq scanner heredoc state machine, and removes the ValueError handler around the agy CLI exec.
pr-09	fix(#938): butterfreezone-validate skips Express/Fastify route patterns	Route-parameter tokens such as /users/:id were being reported as missing file references. Skip route patterns in the reference check and cover the shapes with a regression suite.
pr-10	fix(bug-725): handle ajv-cli@5+ in loa-doctor version probe	ajv-cli 5 changed its version output; loa-doctor misreported it as missing. Probe both shapes and pin the behaviour with tests.
